category,diagnosis_code,full_code,partial_description,full_description
A049,,A049,"Bacterial intestinal infection, unspecified","Bacterial intestinal infection, unspecified"
A05,0,A050,Foodborne staphylococcal intoxication,Foodborne staphylococcal intoxication
A05,1,A051,Botulism food poisoning,Botulism food poisoning
A05,2,A052,Foodborne Clostridium perfringens intoxication,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A05,3,A053,Foodborne Vibrio parahaemolyticus intoxication,Foodborne Vibrio parahaemolyticus intoxication
A05,4,A054,Foodborne Bacillus cereus intoxication,Foodborne Bacillus cereus intoxication
A05,5,A055,Foodborne Vibrio vulnificus intoxication,Foodborne Vibrio vulnificus intoxication
A05,8,A058,Other specified bacterial foodborne intoxications,Other specified bacterial foodborne intoxications
A05,9,A059,"Bacterial foodborne intoxication, unspecified","Bacterial foodborne intoxication, unspecified"
A06,0,A060,Acute amebic dysentery,Acute amebic dysentery
A06,1,A061,Chronic intestinal amebiasis,Chronic intestinal amebiasis
A06,2,A062,Amebic nondysenteric colitis,Amebic nondysenteric colitis
A06,3,A063,Ameboma of intestine,Ameboma of intestine
A06,4,A064,Amebic liver abscess,Amebic liver abscess
A06,5,A065,Amebic lung abscess,Amebic lung abscess
A06,6,A066,Amebic brain abscess,Amebic brain abscess
A06,7,A067,Cutaneous amebiasis,Cutaneous amebiasis
A068,1,A0681,Amebic cystitis,Amebic cystitis
A068,2,A0682,Other amebic genitourinary infections,Other amebic genitourinary infections
A068,9,A0689,Other amebic infections,Other amebic infections
A069,,A069,"Amebiasis, unspecified","Amebiasis, unspecified"
A07,0,A070,Balantidiasis,Balantidiasis
A07,1,A071,Giardiasis [lambliasis],Giardiasis [lambliasis]
A07,2,A072,Cryptosporidiosis,Cryptosporidiosis
A07,3,A073,Isosporiasis,Isosporiasis
A07,4,A074,Cyclosporiasis,Cyclosporiasis
A07,8,A078,Other specified protozoal intestinal diseases,Other specified protozoal intestinal diseases
A07,9,A079,"Protozoal intestinal disease, unspecified","Protozoal intestinal disease, unspecified"
A08,0,A080,Rotaviral enteritis,Rotaviral enteritis
A081,1,A0811,Acute gastroenteropathy due to Norwalk agent,Acute gastroenteropathy due to Norwalk agent
A081,9,A0819,Acute gastroenteropathy due to other small round viruses,Acute gastroenteropathy due to other small round viruses
A082,,A082,Adenoviral enteritis,Adenoviral enteritis
A083,1,A0831,Calicivirus enteritis,Calicivirus enteritis
A083,2,A0832,Astrovirus enteritis,Astrovirus enteritis
A083,9,A0839,Other viral enteritis,Other viral enteritis
A084,,A084,"Viral intestinal infection, unspecified","Viral intestinal infection, unspecified"
A088,,A088,Other specified intestinal infections,Other specified intestinal infections
A09,,A09,"Infectious gastroenteritis and colitis, unspecified","Infectious gastroenteritis and colitis, unspecified"
A15,0,A150,Tuberculosis of lung,Tuberculosis of lung
A15,4,A154,Tuberculosis of intrathoracic lymph nodes,Tuberculosis of intrathoracic lymph nodes
A15,5,A155,"Tuberculosis of larynx, trachea and bronchus","Tuberculosis of larynx, trachea and bronchus"
A15,6,A156,Tuberculous pleurisy,Tuberculous pleurisy
A15,7,A157,Primary respiratory tuberculosis,Primary respiratory tuberculosis
A15,8,A158,Other respiratory tuberculosis,Other respiratory tuberculosis
A15,9,A159,Respiratory tuberculosis unspecified,Respiratory tuberculosis unspecified
A17,0,A170,Tuberculous meningitis,Tuberculous meningitis
A17,1,A171,Meningeal tuberculoma,Meningeal tuberculoma
A178,1,A1781,Tuberculoma of brain and spinal cord,Tuberculoma of brain and spinal cord
A178,2,A1782,Tuberculous meningoencephalitis,Tuberculous meningoencephalitis
A178,3,A1783,Tuberculous neuritis,Tuberculous neuritis
A178,9,A1789,Other tuberculosis of nervous system,Other tuberculosis of nervous system
A179,,A179,"Tuberculosis of nervous system, unspecified","Tuberculosis of nervous system, unspecified"
A180,1,A1801,Tuberculosis of spine,Tuberculosis of spine
A180,2,A1802,Tuberculous arthritis of other joints,Tuberculous arthritis of other joints
A180,3,A1803,Tuberculosis of other bones,Tuberculosis of other bones
A180,9,A1809,Other musculoskeletal tuberculosis,Other musculoskeletal tuberculosis
A181,0,A1810,"Tuberculosis of genitourinary system, unspecified","Tuberculosis of genitourinary system, unspecified"
A181,1,A1811,Tuberculosis of kidney and ureter,Tuberculosis of kidney and ureter
A181,2,A1812,Tuberculosis of bladder,Tuberculosis of bladder
A181,3,A1813,Tuberculosis of other urinary organs,Tuberculosis of other urinary organs
A181,4,A1814,Tuberculosis of prostate,Tuberculosis of prostate
A181,5,A1815,Tuberculosis of other male genital organs,Tuberculosis of other male genital organs
A181,6,A1816,Tuberculosis of cervix,Tuberculosis of cervix
A181,7,A1817,Tuberculous female pelvic inflammatory disease,Tuberculous female pelvic inflammatory disease
A181,8,A1818,Tuberculosis of other female genital organs,Tuberculosis of other female genital organs
A182,,A182,Tuberculous peripheral lymphadenopathy,Tuberculous peripheral lymphadenopathy
A183,1,A1831,Tuberculous peritonitis,Tuberculous peritonitis
A183,2,A1832,Tuberculous enteritis,Tuberculous enteritis
A183,9,A1839,Retroperitoneal tuberculosis,Retroperitoneal tuberculosis
A184,,A184,Tuberculosis of skin and subcutaneous tissue,Tuberculosis of skin and subcutaneous tissue
A185,0,A1850,"Tuberculosis of eye, unspecified","Tuberculosis of eye, unspecified"
A185,1,A1851,Tuberculous episcleritis,Tuberculous episcleritis
A185,2,A1852,Tuberculous keratitis,Tuberculous keratitis
A185,3,A1853,Tuberculous chorioretinitis,Tuberculous chorioretinitis
A185,4,A1854,Tuberculous iridocyclitis,Tuberculous iridocyclitis
A185,9,A1859,Other tuberculosis of eye,Other tuberculosis of eye
A186,,A186,Tuberculosis of (inner) (middle) ear,Tuberculosis of (inner) (middle) ear
A187,,A187,Tuberculosis of adrenal glands,Tuberculosis of adrenal glands
A188,1,A1881,Tuberculosis of thyroid gland,Tuberculosis of thyroid gland
A188,2,A1882,Tuberculosis of other endocrine glands,Tuberculosis of other endocrine glands
A188,3,A1883,"Tuberculosis of digestive tract organs, NEC","Tuberculosis of digestive tract organs, not elsewhere classified"
A188,4,A1884,Tuberculosis of heart,Tuberculosis of heart
A188,5,A1885,Tuberculosis of spleen,Tuberculosis of spleen
A188,9,A1889,Tuberculosis of other sites,Tuberculosis of other sites
A19,0,A190,Acute miliary tuberculosis of a single specified site,Acute miliary tuberculosis of a single specified site
A19,1,A191,Acute miliary tuberculosis of multiple sites,Acute miliary tuberculosis of multiple sites
A19,2,A192,"Acute miliary tuberculosis, unspecified","Acute miliary tuberculosis, unspecified"
A19,8,A198,Other miliary tuberculosis,Other miliary tuberculosis
A19,9,A199,"Miliary tuberculosis, unspecified","Miliary tuberculosis, unspecified"
A20,0,A200,Bubonic plague,Bubonic plague
A20,1,A201,Cellulocutaneous plague,Cellulocutaneous plague
A20,2,A202,Pneumonic plague,Pneumonic plague
A20,3,A203,Plague meningitis,Plague meningitis
A20,7,A207,Septicemic plague,Septicemic plague
A20,8,A208,Other forms of plague,Other forms of plague
A20,9,A209,"Plague, unspecified","Plague, unspecified"
A21,0,A210,Ulceroglandular tularemia,Ulceroglandular tularemia
A21,1,A211,Oculoglandular tularemia,Oculoglandular tularemia
A21,2,A212,Pulmonary tularemia,Pulmonary tularemia
A21,3,A213,Gastrointestinal tularemia,Gastrointestinal tularemia
A21,7,A217,Generalized tularemia,Generalized tularemia
A21,8,A218,Other forms of tularemia,Other forms of tularemia
A21,9,A219,"Tularemia, unspecified","Tularemia, unspecified"
A22,0,A220,Cutaneous anthrax,Cutaneous anthrax
A22,1,A221,Pulmonary anthrax,Pulmonary anthrax
A22,2,A222,Gastrointestinal anthrax,Gastrointestinal anthrax
A22,7,A227,Anthrax sepsis,Anthrax sepsis
A22,8,A228,Other forms of anthrax,Other forms of anthrax
A22,9,A229,"Anthrax, unspecified","Anthrax, unspecified"
A23,0,A230,Brucellosis due to Brucella melitensis,Brucellosis due to Brucella melitensis
A23,1,A231,Brucellosis due to Brucella abortus,Brucellosis due to Brucella abortus
A23,2,A232,Brucellosis due to Brucella suis,Brucellosis due to Brucella suis
A23,3,A233,Brucellosis due to Brucella canis,Brucellosis due to Brucella canis
A23,8,A238,Other brucellosis,Other brucellosis
A23,9,A239,"Brucellosis, unspecified","Brucellosis, unspecified"
A24,0,A240,Glanders,Glanders
A24,1,A241,Acute and fulminating melioidosis,Acute and fulminating melioidosis
A24,2,A242,Subacute and chronic melioidosis,Subacute and chronic melioidosis
A24,3,A243,Other melioidosis,Other melioidosis
A24,9,A249,"Melioidosis, unspecified","Melioidosis, unspecified"
A25,0,A250,Spirillosis,Spirillosis
A25,1,A251,Streptobacillosis,Streptobacillosis
A25,9,A259,"Rat-bite fever, unspecified","Rat-bite fever, unspecified"
A26,0,A260,Cutaneous erysipeloid,Cutaneous erysipeloid
A26,7,A267,Erysipelothrix sepsis,Erysipelothrix sepsis
A26,8,A268,Other forms of erysipeloid,Other forms of erysipeloid
A26,9,A269,"Erysipeloid, unspecified","Erysipeloid, unspecified"
A27,0,A270,Leptospirosis icterohemorrhagica,Leptospirosis icterohemorrhagica
A278,1,A2781,Aseptic meningitis in leptospirosis,Aseptic meningitis in leptospirosis
A278,9,A2789,Other forms of leptospirosis,Other forms of leptospirosis
A279,,A279,"Leptospirosis, unspecified","Leptospirosis, unspecified"
A28,0,A280,Pasteurellosis,Pasteurellosis
A28,1,A281,Cat-scratch disease,Cat-scratch disease
A28,2,A282,Extraintestinal yersiniosis,Extraintestinal yersiniosis
A28,8,A288,"Oth zoonotic bacterial diseases, not elsewhere classified","Other specified zoonotic bacterial diseases, not elsewhere classified"
A28,9,A289,"Zoonotic bacterial disease, unspecified","Zoonotic bacterial disease, unspecified"
A30,0,A300,Indeterminate leprosy,Indeterminate leprosy
A30,1,A301,Tuberculoid leprosy,Tuberculoid leprosy
A30,2,A302,Borderline tuberculoid leprosy,Borderline tuberculoid leprosy
A30,3,A303,Borderline leprosy,Borderline leprosy
A30,4,A304,Borderline lepromatous leprosy,Borderline lepromatous leprosy
A30,5,A305,Lepromatous leprosy,Lepromatous leprosy
A30,8,A308,Other forms of leprosy,Other forms of leprosy
A30,9,A309,"Leprosy, unspecified","Leprosy, unspecified"
A31,0,A310,Pulmonary mycobacterial infection,Pulmonary mycobacterial infection
A31,1,A311,Cutaneous mycobacterial infection,Cutaneous mycobacterial infection
A31,2,A312,Dissem mycobacterium avium-intracellulare complex (DMAC),Disseminated mycobacterium avium-intracellulare complex (DMAC)
A31,8,A318,Other mycobacterial infections,Other mycobacterial infections
A31,9,A319,"Mycobacterial infection, unspecified","Mycobacterial infection, unspecified"
A32,0,A320,Cutaneous listeriosis,Cutaneous listeriosis
A321,1,A3211,Listerial meningitis,Listerial meningitis
A321,2,A3212,Listerial meningoencephalitis,Listerial meningoencephalitis
A327,,A327,Listerial sepsis,Listerial sepsis
A328,1,A3281,Oculoglandular listeriosis,Oculoglandular listeriosis
A328,2,A3282,Listerial endocarditis,Listerial endocarditis
A328,9,A3289,Other forms of listeriosis,Other forms of listeriosis
A329,,A329,"Listeriosis, unspecified","Listeriosis, unspecified"
A33,,A33,Tetanus neonatorum,Tetanus neonatorum
A34,,A34,Obstetrical tetanus,Obstetrical tetanus
A35,,A35,Other tetanus,Other tetanus
A36,0,A360,Pharyngeal diphtheria,Pharyngeal diphtheria
A36,1,A361,Nasopharyngeal diphtheria,Nasopharyngeal diphtheria
A36,2,A362,Laryngeal diphtheria,Laryngeal diphtheria
A36,3,A363,Cutaneous diphtheria,Cutaneous diphtheria
A368,1,A3681,Diphtheritic cardiomyopathy,Diphtheritic cardiomyopathy
A368,2,A3682,Diphtheritic radiculomyelitis,Diphtheritic radiculomyelitis
A368,3,A3683,Diphtheritic polyneuritis,Diphtheritic polyneuritis
A368,4,A3684,Diphtheritic tubulo-interstitial nephropathy,Diphtheritic tubulo-interstitial nephropathy
A368,5,A3685,Diphtheritic cystitis,Diphtheritic cystitis
A368,6,A3686,Diphtheritic conjunctivitis,Diphtheritic conjunctivitis
A368,9,A3689,Other diphtheritic complications,Other diphtheritic complications
A369,,A369,"Diphtheria, unspecified","Diphtheria, unspecified"
A370,0,A3700,Whooping cough due to Bordetella pertussis without pneumonia,Whooping cough due to Bordetella pertussis without pneumonia
A370,1,A3701,Whooping cough due to Bordetella pertussis with pneumonia,Whooping cough due to Bordetella pertussis with pneumonia
A371,0,A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia,Whooping cough due to Bordetella parapertussis without pneumonia
A371,1,A3711,Whooping cough due to Bordetella parapertussis w pneumonia,Whooping cough due to Bordetella parapertussis with pneumonia
A378,0,A3780,Whooping cough due to other Bordetella species w/o pneumonia,Whooping cough due to other Bordetella species without pneumonia
A378,1,A3781,Whooping cough due to oth Bordetella species with pneumonia,Whooping cough due to other Bordetella species with pneumonia
A379,0,A3790,"Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species without pneumonia"
A379,1,A3791,"Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species with pneumonia"
A38,0,A380,Scarlet fever with otitis media,Scarlet fever with otitis media
A38,1,A381,Scarlet fever with myocarditis,Scarlet fever with myocarditis
A38,8,A388,Scarlet fever with other complications,Scarlet fever with other complications
A38,9,A389,"Scarlet fever, uncomplicated","Scarlet fever, uncomplicated"
A39,0,A390,Meningococcal meningitis,Meningococcal meningitis
A39,1,A391,Waterhouse-Friderichsen syndrome,Waterhouse-Friderichsen syndrome
A39,2,A392,Acute meningococcemia,Acute meningococcemia
A39,3,A393,Chronic meningococcemia,Chronic meningococcemia
A39,4,A394,"Meningococcemia, unspecified","Meningococcemia, unspecified"
A395,0,A3950,"Meningococcal carditis, unspecified","Meningococcal carditis, unspecified"
A395,1,A3951,Meningococcal endocarditis,Meningococcal endocarditis
A395,2,A3952,Meningococcal myocarditis,Meningococcal myocarditis
A395,3,A3953,Meningococcal pericarditis,Meningococcal pericarditis
A398,1,A3981,Meningococcal encephalitis,Meningococcal encephalitis
A398,2,A3982,Meningococcal retrobulbar neuritis,Meningococcal retrobulbar neuritis
A398,3,A3983,Meningococcal arthritis,Meningococcal arthritis
A398,4,A3984,Postmeningococcal arthritis,Postmeningococcal arthritis
A398,9,A3989,Other meningococcal infections,Other meningococcal infections
A399,,A399,"Meningococcal infection, unspecified","Meningococcal infection, unspecified"
A40,0,A400,"Sepsis due to streptococcus, group A","Sepsis due to streptococcus, group A"
A40,1,A401,"Sepsis due to streptococcus, group B","Sepsis due to streptococcus, group B"
A40,3,A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae
A40,8,A408,Other streptococcal sepsis,Other streptococcal sepsis
A40,9,A409,"Streptococcal sepsis, unspecified","Streptococcal sepsis, unspecified"
A410,1,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,Sepsis due to Methicillin susceptible Staphylococcus aureus
A410,2,A4102,Sepsis due to Methicillin resistant Staphylococcus aureus,Sepsis due to Methicillin resistant Staphylococcus aureus
A411,,A411,Sepsis due to other specified staphylococcus,Sepsis due to other specified staphylococcus
A412,,A412,Sepsis due to unspecified staphylococcus,Sepsis due to unspecified staphylococcus
A413,,A413,Sepsis due to Hemophilus influenzae,Sepsis due to Hemophilus influenzae
A414,,A414,Sepsis due to anaerobes,Sepsis due to anaerobes
A415,0,A4150,"Gram-negative sepsis, unspecified","Gram-negative sepsis, unspecified"
A415,1,A4151,Sepsis due to Escherichia coli [E. coli],Sepsis due to Escherichia coli [E. coli]
A415,2,A4152,Sepsis due to Pseudomonas,Sepsis due to Pseudomonas
A415,3,A4153,Sepsis due to Serratia,Sepsis due to Serratia
A415,9,A4159,Other Gram-negative sepsis,Other Gram-negative sepsis
A418,1,A4181,Sepsis due to Enterococcus,Sepsis due to Enterococcus
A418,9,A4189,Other specified sepsis,Other specified sepsis
A419,,A419,"Sepsis, unspecified organism","Sepsis, unspecified organism"
A42,0,A420,Pulmonary actinomycosis,Pulmonary actinomycosis
A42,1,A421,Abdominal actinomycosis,Abdominal actinomycosis
A42,2,A422,Cervicofacial actinomycosis,Cervicofacial actinomycosis
A42,7,A427,Actinomycotic sepsis,Actinomycotic sepsis
A428,1,A4281,Actinomycotic meningitis,Actinomycotic meningitis
A428,2,A4282,Actinomycotic encephalitis,Actinomycotic encephalitis
A428,9,A4289,Other forms of actinomycosis,Other forms of actinomycosis
A429,,A429,"Actinomycosis, unspecified","Actinomycosis, unspecified"
A43,0,A430,Pulmonary nocardiosis,Pulmonary nocardiosis
A43,1,A431,Cutaneous nocardiosis,Cutaneous nocardiosis
A43,8,A438,Other forms of nocardiosis,Other forms of nocardiosis
A43,9,A439,"Nocardiosis, unspecified","Nocardiosis, unspecified"
A44,0,A440,Systemic bartonellosis,Systemic bartonellosis
A44,1,A441,Cutaneous and mucocutaneous bartonellosis,Cutaneous and mucocutaneous bartonellosis
A44,8,A448,Other forms of bartonellosis,Other forms of bartonellosis
A44,9,A449,"Bartonellosis, unspecified","Bartonellosis, unspecified"
A46,,A46,Erysipelas,Erysipelas
A48,0,A480,Gas gangrene,Gas gangrene
A48,1,A481,Legionnaires' disease,Legionnaires' disease
A48,2,A482,Nonpneumonic Legionnaires' disease [Pontiac fever],Nonpneumonic Legionnaires' disease [Pontiac fever]
A48,3,A483,Toxic shock syndrome,Toxic shock syndrome
A48,4,A484,Brazilian purpuric fever,Brazilian purpuric fever
A485,1,A4851,Infant botulism,Infant botulism
A485,2,A4852,Wound botulism,Wound botulism
A488,,A488,Other specified bacterial diseases,Other specified bacterial diseases
A490,1,A4901,"Methicillin suscep staph infection, unsp site","Methicillin susceptible Staphylococcus aureus infection, unspecified site"
A490,2,A4902,"Methicillin resis staph infection, unsp site","Methicillin resistant Staphylococcus aureus infection, unspecified site"
A491,,A491,"Streptococcal infection, unspecified site","Streptococcal infection, unspecified site"
A492,,A492,"Hemophilus influenzae infection, unspecified site","Hemophilus influenzae infection, unspecified site"
A493,,A493,"Mycoplasma infection, unspecified site","Mycoplasma infection, unspecified site"
A498,,A498,Other bacterial infections of unspecified site,Other bacterial infections of unspecified site
A499,,A499,"Bacterial infection, unspecified","Bacterial infection, unspecified"
A500,1,A5001,Early congenital syphilitic oculopathy,Early congenital syphilitic oculopathy
A500,2,A5002,Early congenital syphilitic osteochondropathy,Early congenital syphilitic osteochondropathy
A500,3,A5003,Early congenital syphilitic pharyngitis,Early congenital syphilitic pharyngitis
A500,4,A5004,Early congenital syphilitic pneumonia,Early congenital syphilitic pneumonia
A500,5,A5005,Early congenital syphilitic rhinitis,Early congenital syphilitic rhinitis
A500,6,A5006,Early cutaneous congenital syphilis,Early cutaneous congenital syphilis
A500,7,A5007,Early mucocutaneous congenital syphilis,Early mucocutaneous congenital syphilis
A500,8,A5008,Early visceral congenital syphilis,Early visceral congenital syphilis
A500,9,A5009,"Other early congenital syphilis, symptomatic","Other early congenital syphilis, symptomatic"
A501,,A501,"Early congenital syphilis, latent","Early congenital syphilis, latent"
A502,,A502,"Early congenital syphilis, unspecified","Early congenital syphilis, unspecified"
A503,0,A5030,"Late congenital syphilitic oculopathy, unspecified","Late congenital syphilitic oculopathy, unspecified"
A503,1,A5031,Late congenital syphilitic interstitial keratitis,Late congenital syphilitic interstitial keratitis
A503,2,A5032,Late congenital syphilitic chorioretinitis,Late congenital syphilitic chorioretinitis
A503,9,A5039,Other late congenital syphilitic oculopathy,Other late congenital syphilitic oculopathy
A504,0,A5040,"Late congenital neurosyphilis, unspecified","Late congenital neurosyphilis, unspecified"
A504,1,A5041,Late congenital syphilitic meningitis,Late congenital syphilitic meningitis
A504,2,A5042,Late congenital syphilitic encephalitis,Late congenital syphilitic encephalitis
A504,3,A5043,Late congenital syphilitic polyneuropathy,Late congenital syphilitic polyneuropathy
A504,4,A5044,Late congenital syphilitic optic nerve atrophy,Late congenital syphilitic optic nerve atrophy
A504,5,A5045,Juvenile general paresis,Juvenile general paresis
A504,9,A5049,Other late congenital neurosyphilis,Other late congenital neurosyphilis
A505,1,A5051,Clutton's joints,Clutton's joints
A505,2,A5052,Hutchinson's teeth,Hutchinson's teeth
A505,3,A5053,Hutchinson's triad,Hutchinson's triad
A505,4,A5054,Late congenital cardiovascular syphilis,Late congenital cardiovascular syphilis
A505,5,A5055,Late congenital syphilitic arthropathy,Late congenital syphilitic arthropathy
A505,6,A5056,Late congenital syphilitic osteochondropathy,Late congenital syphilitic osteochondropathy
A505,7,A5057,Syphilitic saddle nose,Syphilitic saddle nose
A505,9,A5059,"Other late congenital syphilis, symptomatic","Other late congenital syphilis, symptomatic"
A506,,A506,"Late congenital syphilis, latent","Late congenital syphilis, latent"
A507,,A507,"Late congenital syphilis, unspecified","Late congenital syphilis, unspecified"
A509,,A509,"Congenital syphilis, unspecified","Congenital syphilis, unspecified"
A51,0,A510,Primary genital syphilis,Primary genital syphilis
A51,1,A511,Primary anal syphilis,Primary anal syphilis
A51,2,A512,Primary syphilis of other sites,Primary syphilis of other sites
A513,1,A5131,Condyloma latum,Condyloma latum
A513,2,A5132,Syphilitic alopecia,Syphilitic alopecia
A513,9,A5139,Other secondary syphilis of skin,Other secondary syphilis of skin
A514,1,A5141,Secondary syphilitic meningitis,Secondary syphilitic meningitis
A514,2,A5142,Secondary syphilitic female pelvic disease,Secondary syphilitic female pelvic disease
A514,3,A5143,Secondary syphilitic oculopathy,Secondary syphilitic oculopathy
A514,4,A5144,Secondary syphilitic nephritis,Secondary syphilitic nephritis
A514,5,A5145,Secondary syphilitic hepatitis,Secondary syphilitic hepatitis
A514,6,A5146,Secondary syphilitic osteopathy,Secondary syphilitic osteopathy
A514,9,A5149,Other secondary syphilitic conditions,Other secondary syphilitic conditions
A515,,A515,"Early syphilis, latent","Early syphilis, latent"
A519,,A519,"Early syphilis, unspecified","Early syphilis, unspecified"
A520,0,A5200,"Cardiovascular syphilis, unspecified","Cardiovascular syphilis, unspecified"
A520,1,A5201,Syphilitic aneurysm of aorta,Syphilitic aneurysm of aorta
A520,2,A5202,Syphilitic aortitis,Syphilitic aortitis
A520,3,A5203,Syphilitic endocarditis,Syphilitic endocarditis
A520,4,A5204,Syphilitic cerebral arteritis,Syphilitic cerebral arteritis
A520,5,A5205,Other cerebrovascular syphilis,Other cerebrovascular syphilis
A520,6,A5206,Other syphilitic heart involvement,Other syphilitic heart involvement
A520,9,A5209,Other cardiovascular syphilis,Other cardiovascular syphilis
A521,0,A5210,"Symptomatic neurosyphilis, unspecified","Symptomatic neurosyphilis, unspecified"
A521,1,A5211,Tabes dorsalis,Tabes dorsalis
A521,2,A5212,Other cerebrospinal syphilis,Other cerebrospinal syphilis
A521,3,A5213,Late syphilitic meningitis,Late syphilitic meningitis
A521,4,A5214,Late syphilitic encephalitis,Late syphilitic encephalitis
A521,5,A5215,Late syphilitic neuropathy,Late syphilitic neuropathy
A521,6,A5216,Charcot's arthropathy (tabetic),Charcot's arthropathy (tabetic)
A521,7,A5217,General paresis,General paresis
A521,9,A5219,Other symptomatic neurosyphilis,Other symptomatic neurosyphilis
A522,,A522,Asymptomatic neurosyphilis,Asymptomatic neurosyphilis
A523,,A523,"Neurosyphilis, unspecified","Neurosyphilis, unspecified"
A527,1,A5271,Late syphilitic oculopathy,Late syphilitic oculopathy
A527,2,A5272,Syphilis of lung and bronchus,Syphilis of lung and bronchus
A527,3,A5273,Symptomatic late syphilis of other respiratory organs,Symptomatic late syphilis of other respiratory organs
A527,4,A5274,Syphilis of liver and other viscera,Syphilis of liver and other viscera
A527,5,A5275,Syphilis of kidney and ureter,Syphilis of kidney and ureter
A527,6,A5276,Other genitourinary symptomatic late syphilis,Other genitourinary symptomatic late syphilis
A527,7,A5277,Syphilis of bone and joint,Syphilis of bone and joint
A527,8,A5278,Syphilis of other musculoskeletal tissue,Syphilis of other musculoskeletal tissue
A527,9,A5279,Other symptomatic late syphilis,Other symptomatic late syphilis
A528,,A528,"Late syphilis, latent","Late syphilis, latent"
A529,,A529,"Late syphilis, unspecified","Late syphilis, unspecified"
A53,0,A530,"Latent syphilis, unspecified as early or late","Latent syphilis, unspecified as early or late"
A53,9,A539,"Syphilis, unspecified","Syphilis, unspecified"
A540,0,A5400,"Gonococcal infection of lower genitourinary tract, unsp","Gonococcal infection of lower genitourinary tract, unspecified"
A540,1,A5401,"Gonococcal cystitis and urethritis, unspecified","Gonococcal cystitis and urethritis, unspecified"
A540,2,A5402,"Gonococcal vulvovaginitis, unspecified","Gonococcal vulvovaginitis, unspecified"
A540,3,A5403,"Gonococcal cervicitis, unspecified","Gonococcal cervicitis, unspecified"
A540,9,A5409,Other gonococcal infection of lower genitourinary tract,Other gonococcal infection of lower genitourinary tract
